Pool;Event (EN);Event (RU);Men;Women;Rank;Is_Mixed;Period
LCM;200m Butterfly;Баттерфляй 200 м;3:24.20;3:48.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;3:59.20;4:24.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;4:39.20;5:04.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:43.02;1:55.02;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:50.95;2:03.45;МС;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:57.45;2:11.75;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:05.70;2:20.45;I;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:20.20;2:36.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:38.70;2:54.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;3:04.20;3:25.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;3:45.00;4:05.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;4:24.20;4:43.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;1:46.50;1:56.90;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;1:53.95;2:06.45;МС;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:00.65;2:14.76;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:08.95;2:23.45;I;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:23.20;2:38.20;II;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:41.70;2:57.20;III;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;3:07.20;3:28.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;3:47.20;4:08.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;4:27.20;4:46.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;1:54.17;2:08.11;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:05.95;2:20.95;МС;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:14.45;2:29.45;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:21.95;2:38.95;I;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:38.95;2:59.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;3:04.20;3:25.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;3:29.20;3:54.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;4:04.20;4:30.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;4:44.20;5:10.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;1:58.59;2:12.12;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:09.75;2:24.75;МС;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:17.25;2:33.25;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:25.75;2:42.75;I;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:44.00;3:03.00;II;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;3:08.00;3:29.00;III;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;3:33.00;3:58.00;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;4:08.00;4:34.00;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;4:48.00;5:14.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;3:40.94;4:03.32;МСМК;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;3:56.00;4:20.00;МС;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;4:08.50;4:30.00;КМС;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;4:25.00;4:52.00;I;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;5:00.00;5:34.00;II;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;5:41.00;6:18.00;III;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;6:37.00;7:29.00;Iю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;7:33.00;8:40.00;IIю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;8:29.00;9:51.00;IIIю;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;3:47.71;4:08.04;МСМК;False;26.11.2024 – 31.12.9999
